FIPS,GEO_ID,NAME,B19013_001E
05017,0500000US05017,"Chicot County, Arkansas",33523
05019,0500000US05019,"Clark County, Arkansas",39500
05021,0500000US05021,"Clay County, Arkansas",37933
05023,0500000US05023,"Cleburne County, Arkansas",45563
05025,0500000US05025,"Cleveland County, Arkansas",46349
05027,0500000US05027,"Columbia County, Arkansas",37609
05029,0500000US05029,"Conway County, Arkansas",44456
05031,0500000US05031,"Craighead County, Arkansas",49730
05033,0500000US05033,"Crawford County, Arkansas",48980
05035,0500000US05035,"Crittenden County, Arkansas",42384
05037,0500000US05037,"Cross County, Arkansas",44379
05039,0500000US05039,"Dallas County, Arkansas",35134
05041,0500000US05041,"Desha County, Arkansas",31855
05043,0500000US05043,"Drew County, Arkansas",42924
05045,0500000US05045,"Faulkner County, Arkansas",54191
05047,0500000US05047,"Franklin County, Arkansas",37561
05049,0500000US05049,"Fulton County, Arkansas",35274
05051,0500000US05051,"Garland County, Arkansas",48150
05053,0500000US05053,"Grant County, Arkansas",59051
05055,0500000US05055,"Greene County, Arkansas",50083
05057,0500000US05057,"Hempstead County, Arkansas",45484
05059,0500000US05059,"Hot Spring County, Arkansas",46390
05061,0500000US05061,"Howard County, Arkansas",38038
05063,0500000US05063,"Independence County, Arkansas",48972
05065,0500000US05065,"Izard County, Arkansas",42818
05067,0500000US05067,"Jackson County, Arkansas",37885
05069,0500000US05069,"Jefferson County, Arkansas",40402
05071,0500000US05071,"Johnson County, Arkansas",39346
05073,0500000US05073,"Lafayette County, Arkansas",33763
05075,0500000US05075,"Lawrence County, Arkansas",40587
05077,0500000US05077,"Lee County, Arkansas",27902
05079,0500000US05079,"Lincoln County, Arkansas",46554
05081,0500000US05081,"Little River County, Arkansas",48966
05083,0500000US05083,"Logan County, Arkansas",44232
05085,0500000US05085,"Lonoke County, Arkansas",59278
05087,0500000US05087,"Madison County, Arkansas",41446
05089,0500000US05089,"Marion County, Arkansas",38426
05091,0500000US05091,"Miller County, Arkansas",45391
05093,0500000US05093,"Mississippi County, Arkansas",42986
05095,0500000US05095,"Monroe County, Arkansas",38438
05097,0500000US05097,"Montgomery County, Arkansas",41165
05099,0500000US05099,"Nevada County, Arkansas",39946
05101,0500000US05101,"Newton County, Arkansas",39542
05103,0500000US05103,"Ouachita County, Arkansas",38279
05105,0500000US05105,"Perry County, Arkansas",44926
05107,0500000US05107,"Phillips County, Arkansas",33724
05109,0500000US05109,"Pike County, Arkansas",42983
05111,0500000US05111,"Poinsett County, Arkansas",40700
05113,0500000US05113,"Polk County, Arkansas",39084
05115,0500000US05115,"Pope County, Arkansas",46004
05117,0500000US05117,"Prairie County, Arkansas",42754
05119,0500000US05119,"Pulaski County, Arkansas",52930
05121,0500000US05121,"Randolph County, Arkansas",42844
05123,0500000US05123,"St. Francis County, Arkansas",36053
05125,0500000US05125,"Saline County, Arkansas",66876
05127,0500000US05127,"Scott County, Arkansas",42635
05129,0500000US05129,"Searcy County, Arkansas",35077
05131,0500000US05131,"Sebastian County, Arkansas",47878
05133,0500000US05133,"Sevier County, Arkansas",47872
05135,0500000US05135,"Sharp County, Arkansas",35573
05137,0500000US05137,"Stone County, Arkansas",36067
05139,0500000US05139,"Union County, Arkansas",45293
05141,0500000US05141,"Van Buren County, Arkansas",40442
05143,0500000US05143,"Washington County, Arkansas",52380
05145,0500000US05145,"White County, Arkansas",44000
05147,0500000US05147,"Woodruff County, Arkansas",40331
05149,0500000US05149,"Yell County, Arkansas",47981
06001,0500000US06001,"Alameda County, California",104888
06003,0500000US06003,"Alpine County, California",85750
06005,0500000US06005,"Amador County, California",65187
06007,0500000US06007,"Butte County, California",54972
06009,0500000US06009,"Calaveras County, California",67054
06011,0500000US06011,"Colusa County, California",59427
06013,0500000US06013,"Contra Costa County, California",103997
06015,0500000US06015,"Del Norte County, California",49981
06017,0500000US06017,"El Dorado County, California",83710
06019,0500000US06019,"Fresno County, California",57109
06021,0500000US06021,"Glenn County, California",51682
06023,0500000US06023,"Humboldt County, California",49235
06025,0500000US06025,"Imperial County, California",46222
06027,0500000US06027,"Inyo County, California",59296
06029,0500000US06029,"Kern County, California",54851
06031,0500000US06031,"Kings County, California",61556
06033,0500000US06033,"Lake County, California",49254
06035,0500000US06035,"Lassen County, California",56971
06037,0500000US06037,"Los Angeles County, California",71358
06039,0500000US06039,"Madera County, California",61924
06041,0500000US06041,"Marin County, California",121671
06043,0500000US06043,"Mariposa County, California",50960
06045,0500000US06045,"Mendocino County, California",52915
06047,0500000US06047,"Merced County, California",56330
06049,0500000US06049,"Modoc County, California",51250
06051,0500000US06051,"Mono County, California",64924
06053,0500000US06053,"Monterey County, California",76943
06055,0500000US06055,"Napa County, California",92219
06057,0500000US06057,"Nevada County, California",68333
06059,0500000US06059,"Orange County, California",94441
06061,0500000US06061,"Placer County, California",93677
06063,0500000US06063,"Plumas County, California",57233
06065,0500000US06065,"Riverside County, California",70732
06067,0500000US06067,"Sacramento County, California",70684
06069,0500000US06069,"San Benito County, California",85808
06071,0500000US06071,"San Bernardino County, California",65761
06073,0500000US06073,"San Diego County, California",82426
06075,0500000US06075,"San Francisco County, California",119136
06077,0500000US06077,"San Joaquin County, California",68628
06079,0500000US06079,"San Luis Obispo County, California",77948
06081,0500000US06081,"San Mateo County, California",128091
06083,0500000US06083,"Santa Barbara County, California",78925
06085,0500000US06085,"Santa Clara County, California",130890
06087,0500000US06087,"Santa Cruz County, California",89986
06089,0500000US06089,"Shasta County, California",57139
06091,0500000US06091,"Sierra County, California",52103
06093,0500000US06093,"Siskiyou County, California",47403
06095,0500000US06095,"Solano County, California",84638
06097,0500000US06097,"Sonoma County, California",86173
06099,0500000US06099,"Stanislaus County, California",62873
06101,0500000US06101,"Sutter County, California",63502
06103,0500000US06103,"Tehama County, California",48895
06105,0500000US06105,"Trinity County, California",41780
06107,0500000US06107,"Tulare County, California",52534
06109,0500000US06109,"Tuolumne County, California",60509
06111,0500000US06111,"Ventura County, California",89295
06113,0500000US06113,"Yolo County, California",73746
06115,0500000US06115,"Yuba County, California",59424
08001,0500000US08001,"Adams County, Colorado",73817
08003,0500000US08003,"Alamosa County, Colorado",41121
08005,0500000US08005,"Arapahoe County, Colorado",80291
08007,0500000US08007,"Archuleta County, Colorado",55658
08009,0500000US08009,"Baca County, Colorado",34655
08011,0500000US08011,"Bent County, Colorado",38083
08013,0500000US08013,"Boulder County, Colorado",87476
08014,0500000US08014,"Broomfield County, Colorado",101206
08015,0500000US08015,"Chaffee County, Colorado",55176
08017,0500000US08017,"Cheyenne County, Colorado",67763
